raw,clean
Hybrid set-up 2 days onsite,Hybrid
Mostly work from home/ fully remote,Mostly work from home/ fully remote
Hybrid,Hybrid
100% onsite,100% onsite
"Hybrid - first half at home, then usually go to the office for the latter half until I finish the rest of my shift.",Hybrid
Field work or area,100% onsite
online,Mostly work from home/ fully remote
"Hybrid - Priority at Home, but would come to site if needed",Hybrid
Im a PhD student,
Unemployed,
No work as of now,
Unemployed as of the moment,
Not Working,
