raw,clean
Academic,Academic
Accounting,Accounting
Accounting Staff,Accounting Staff
Admin,Admin
Admin Huhu,Admin
"Admin/Clerical, Operations",Admin
Ai Engineer,AI Engineer
Amazon Ppc Specialist,Amazon Ppc Specialist
Analytics Engineer,Analytics Engineer
Application Support,Application Support
Appraiser,Appraiser
Auditor,Auditor
Current Role - Autocad Drafter,Autocad Drafter
Automation,Automation
Business Analyst,Business Analyst
Civil Engineer,Civil Engineer
Compliance Analyst,Compliance Analyst
Consulting,Consulting
Previously In Management. Currently In Content Production.,Content Production
Cost Engineer,Cost Engineer
Customer Service,Customer Service
Customers Service,Customer Service
Customer Service & Technical Support,Customer Service & Technical Support
Customer Support And Data Coordinator,Customer Support And Data Coordinator
Cybersecurity,Cybersecurity
Data Analyst,Data Analyst
Data Consolidation,Data Consolidation
Data Encoder,Data Encoder
A Mix Of Data Engineering And Analysis,Data Engineer
Data Engineer,Data Engineer
Data Engineer Trainee,Data Engineer Trainee
Data Entry,Data Entry
Data Entry With Analysis,Data Entry With Analysis
Data Processing Associate,Data Processing Associate
Data Quality,Data Quality
Data Scientist,Data Scientist
Data Strategist,Data Strategist
Database Operations - More On Extracting Data Following Specifications,Database Operations
Desktop Support Engineer,Desktop Support Engineer
Developer,Developer
Digital Marketing,Digital Marketing
Document Controller,Document Controller
Electrical Engineer,Electrical Engineer
Esl Tutor,Esl Tutor
Facility Operations,Facility Operations
Field Electrical Engineer,Field Electrical Engineer
Field Engineer,Field Engineer
Freelance,Freelance
General Service,General Service
Geologist,Geologist
Gis Specialist,GIS Specialist
Government Employee,Government Employee
Helpdesk,Helpdesk
Housekeeping,Housekeeping
Hr Technical Recruiter,Hr Technical Recruiter
Innovation Consultant,Innovation Consultant
Insights Analyst,Insights Analyst
It,IT
It Engineer,IT Engineer
It Hardware,IT Hardware
It Support,IT Support
It Technical Support,IT Technical Support
L2 Technical Support Engineer,L2 Technical Support Engineer
Machine Learning Engineer,Machine Learning Engineer
Management,Management
Manufacturing Engineer,Manufacturing Engineer
Multimedia Editor And Presentation,Multimedia Editor And Presentation
N.A,None
Na,None
Network,Network
Network Admin,Network Admin
Network / Voip Administrator,Network Administrator
Network Tech,Network Tech
Non Data Related,Non Data Related
Aspiring Da,None
Operations,Operations
"Career Shifter, Still Looking For Remote Work",Other Roles
Performance Engineer,Performance Engineer
Planning,Planning
My Current Role Is Managing The Plant'S Recycling Management Facility While Also Pursuing A Career As A Data Scientist/Analyst.,Plant Manager
Policy Analyst,Policy Analyst
Process Executive (Agent),Process Executive (Agent)
Procurement And Purchasing Process,Procurement And Purchasing Process
Product Advocate,Product Advocate
Production Support And Developer,Production Support And Developer
Professional Services,Professional Services
Program Manager,Program Manager
Providing Support To End Users,Providing Support To End Users
Qa Engineer,QA Engineer
Quality Control Analyst,Quality Control Analyst
R&D Technologist,R&D Technologist
Reporting,Reporting
Reports,Reports
Reports Analyst - Mainly Maintaining And Developing Power Bi And Excel-Based Reports.,Reports Analyst
Reports Developer/Data Generalist,Reports Developer
Research And Operations,Research And Operations
Sap Abap Developer,Sap Abap Developer
Software Engineer,Software Engineer
Software Engineer Front End Dev,Software Engineer Front End Dev
Supervisory,Supervisory
Support,Support
Support Technician,Support Technician
System Administrator,System Administrator
System Tester (Manual),System Tester (Manual)
Systems Engineer,Systems Engineer
Tableau Consultant,Tableau Consultant
Technical Support,Technical Support
Technician,Technician
Trader,Trader
Ui/Ux Designer,Ui/Ux Designer
Virtual Assistant,Virtual Assistant
"Water Supply Engineer, Data Management, Power Platform",Water Supply Engineer
Web And Graphic Design,Web And Graphic Design
Web Developer,Web Developer
Workforce Analyst,Workforce Analyst
N.A,
Na,
Not Working,
Student,
Studying,
Unemployed,
